Trimestre,Taxa de Desemprego,IPCA
1º 2012,8.0,0.41
2º 2012,7.6,0.36
3º 2012,7.1,0.47
4º 2012,6.9,0.66
1º 2013,8.0,0.64
2º 2013,7.5,0.39
3º 2013,7.0,0.21
4º 2013,6.2,0.68
1º 2014,7.2,0.72
2º 2014,6.9,0.51
3º 2014,6.8,0.28
4º 2014,6.6,0.57
1º 2015,8.0,1.26
2º 2015,8.4,0.75
3º 2015,9.0,0.46
4º 2015,9.1,0.93
1º 2016,11.0,0.87
2º 2016,11.4,0.58
3º 2016,11.9,0.35
4º 2016,12.1,0.25
1º 2017,13.9,0.32
2º 2017,13.1,0.07
3º 2017,12.5,0.2
4º 2017,11.9,0.38
1º 2018,13.2,0.23
2º 2018,12.6,0.63
3º 2018,12.0,0.24
4º 2018,11.7,0.13
1º 2019,12.8,0.5
2º 2019,12.1,0.24
3º 2019,11.9,0.09
4º 2019,11.1,0.59
1º 2020,12.4,0.18
2º 2020,13.6,-0.14
3º 2020,14.9,0.41
4º 2020,14.2,1.03
1º 2021,14.9,0.68
2º 2021,14.2,0.56
3º 2021,12.7,1.0
4º 2021,11.1,0.98
1º 2022,11.1,1.06
2º 2022,9.3,0.73
3º 2022,8.7,-0.44
4º 2022,7.9,0.54
1º 2023,8.8,0.69
2º 2023,8.0,0.25
3º 2023,7.7,0.2
4º 2023,7.4,0.36
1º 2024,7.9,0.47
2º 2024,6.9,0.35
3º 2024,6.4,0.27
4º 2024,6.2,0.49
1º 2025,7.0,0.68
2º 2025,5.8,0.31
3º 2025,5.6,0.21
