Trimestre,Taxa de Desemprego
1º 2012,8.0
2º 2012,7.6
3º 2012,7.1
4º 2012,6.9
1º 2013,8.0
2º 2013,7.5
3º 2013,7.0
4º 2013,6.2
1º 2014,7.2
2º 2014,6.9
3º 2014,6.8
4º 2014,6.6
1º 2015,8.0
2º 2015,8.4
3º 2015,9.0
4º 2015,9.1
1º 2016,11.0
2º 2016,11.4
3º 2016,11.9
4º 2016,12.1
1º 2017,13.9
2º 2017,13.1
3º 2017,12.5
4º 2017,11.9
1º 2018,13.2
2º 2018,12.6
3º 2018,12.0
4º 2018,11.7
1º 2019,12.8
2º 2019,12.1
3º 2019,11.9
4º 2019,11.1
1º 2020,12.4
2º 2020,13.6
3º 2020,14.9
4º 2020,14.2
1º 2021,14.9
2º 2021,14.2
3º 2021,12.7
4º 2021,11.1
1º 2022,11.1
2º 2022,9.3
3º 2022,8.7
4º 2022,7.9
1º 2023,8.8
2º 2023,8.0
3º 2023,7.7
4º 2023,7.4
1º 2024,7.9
2º 2024,6.9
3º 2024,6.4
4º 2024,6.2
1º 2025,7.0
2º 2025,5.8
3º 2025,5.6
